task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.14667992690401546,0.14806351642378027,0.002396850688682114,0.0014302050163043922,0.14745495066627465,0.21355613116697808,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.146694203253902,0.14776505526639164,0.0017543239057627481,0.0011064445936431466,0.14745495066627465,0.21362727621572997,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.14667292375121652,0.1475828636096124,0.0015405830767020034,0.0008825380285810702,0.14745495066627465,0.21355146410693546,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.14712839793635105,0.1521379260590594,0.0011428900535002274,0.0005844676657917325,0.14745495066627465,0.21408778169368842,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.14712923097729208,0.152208985941865,0.0007571079671051303,0.00041691812707495696,0.14745495066627465,0.21406419191201503,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.1471000002144836,0.15204409438631647,0.00064281944966922,0.00039836475962137796,0.14745495066627465,0.21409411367495929,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.22215297395215072,0.06456502739157227,0.20630277501487942,0.07119651578303025,0.10530615352880593,2.5394257755695238,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.21308409363769024,0.06923098526143862,0.20944987105648702,0.07282370558894065,0.10530615352880593,2.5594053805311607,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.21207262983439884,0.07206541842057007,0.21095351713906738,0.07315819641909706,0.10530615352880593,2.5619582285673896,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.16711667119446963,0.009414736751376229,0.15356093369235999,0.007879941000116259,0.10530615352880593,2.693064901892495,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.16015622215485528,0.00913529003985053,0.14520085854045797,0.007480793616618117,0.10530615352880593,2.6732721566279367,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.16435157219044996,0.009070596960916468,0.14899282850214726,0.007459040425477938,0.10530615352880593,2.684585262471351,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.10423010969966365,0.005912407272029924,0.01409441167434205,0.0020221828353583354,0.10530615352880593,2.321429965710237,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.10331248268565496,0.00586179097381688,0.009182904770416564,0.0018252582294354357,0.10530615352880593,2.32044061046345,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.10346485592444732,0.005860746110750402,0.006307729692092772,0.0017870154126307103,0.10530615352880593,2.3205893898353454,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.09525261313826415,0.005672605224079474,0.01523782861989921,0.0006810508863931003,0.10530615352880593,2.358761980581057,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.0934629098431773,0.005800300372684808,0.014866849665854965,0.0007240936447680327,0.10530615352880593,2.359569140921132,9,100
