source,backend,condition,shots_per_round,repeats,rmse_vs_statevector_k1,median_abs_error_vs_statevector_k1,min_abs_error_vs_statevector_k1,max_abs_error_vs_statevector_k1
real_mitigated,ibm_berlin,runtime_dd_twirling,512,10,1.3284735385939503,1.6469555020680362,0.24781030198333243,1.6540184277313614
real_mitigated,ibm_berlin,runtime_dd_twirling,1024,10,1.1301296065399433,0.9872506093058011,0.17820589383478547,1.6509239152745663
real_mitigated,ibm_berlin,runtime_dd_twirling,2048,10,0.86056125272591,0.7163702669126398,0.14323336676660992,1.639993436680185
real_mitigated,ibm_berlin,runtime_dd_twirling,4096,10,0.9069698305638274,0.9227770998745972,0.1122730067064246,1.6441430806085902
real_mitigated,ibm_berlin,runtime_dd_twirling,8192,5,0.8123712487681894,0.7595429303275503,0.4150365196525787,1.0881036466052045
real_raw,ibm_berlin,runtime_raw,512,10,0.49871310621208725,0.4229112476645225,0.24516081718447702,0.773965519161964
real_raw,ibm_berlin,runtime_raw,1024,10,0.6574493519858057,0.6746495244452546,0.2905415590342961,0.7802321702444674
real_raw,ibm_berlin,runtime_raw,2048,10,0.5430363497735538,0.5164983500851448,0.3553003748973651,0.7298730241059763
real_raw,ibm_berlin,runtime_raw,4096,10,0.533511740680422,0.5253776568432387,0.33024086335714764,0.757279191074979
real_raw,ibm_berlin,runtime_raw,8192,10,0.4921987096286153,0.4652435855252113,0.30570414648680133,0.6967425529893855
