source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,repeat,rmse_component
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.004788689302732241,0.015128223895194777,1.6557300806014739,1.6643719867576494,0.00864190615617555,8685,2893,0,0.5023943446513661,0.498469316506393,0.5063193727963393,-0.012638745592678635,0.0030613669872140425,0.003925028144973169,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,0,1.6643719867576494
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.00018001436798920079,-0.0005686937471050387,1.640033162959174,1.6486750691153496,0.00864190615617555,53705,17842,0,0.4999099928160054,0.4992457520611543,0.5005742335708565,-0.0011484671417130166,0.0015084958776914181,0.0006642407548511087,35840,"[0, 0, 3, 32]","[1.0, 7.0, 9.285714285714286]",3,32,1,1.6486750691153496
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.0018829926350333315,-0.00594867037198129,1.6346531863342977,1.6432950924904732,0.00864190615617555,64079,22139,0,0.49905850368248333,0.49851191511220233,0.49960509225276434,0.0007898154944713243,0.0029761697755953387,0.0005465885702810036,41984,"[0, 0, 2, 39]","[1.0, 5.0, 15.8]",3,39,2,1.6432950924904732
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.016577793728387857,-0.05237186197657776,1.5882299947297012,1.5968719008858767,0.00864190615617555,8448,2845,0,0.49171110313580607,0.4877859461730895,0.49563626009852263,0.00872747980295474,0.024428107653820974,0.003925156962716558,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,3,1.5968719008858767
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.010197589352566538,0.03221579124560444,1.6728176479518835,1.681459554108059,0.00864190615617555,7019,2319,0,0.5050987946762833,0.5003016170445642,0.5098959723080023,-0.019791944616004642,-0.0006032340891284349,0.004797177631719052,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,4,1.681459554108059
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.04316072970059892,0.1363515444650164,1.7769534011712955,1.7855953073274708,0.00864190615617555,57376,18984,0,0.5215803648502995,0.5209551285578465,0.5222056011427523,-0.04441120228550455,-0.04191025711569307,0.0006252362924528687,36864,"[0, 0, 2, 34]","[1.0, 5.0, 13.8]",3,34,5,1.7855953073274708
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.029594898179511775,0.0934949455918336,1.7340968022981127,1.7427387084542882,0.00864190615617555,7057,2439,0,0.5147974490897559,0.5100005339125039,0.5195943642670079,-0.03918872853401578,-0.020001067825007768,0.0047969151772520036,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,6,1.7427387084542882
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.0005442661079109179,-0.0017194223760444703,1.6388824343302346,1.6475243404864102,0.00864190615617555,35422,11690,0,0.49972786694604454,0.49872378047683247,0.5007319534152567,-0.0014639068305133396,0.0025524390463350644,0.001004086469212101,23552,"[0, 0, 2, 21]","[1.0, 5.0, 8.6]",3,21,7,1.6475243404864102
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.025572777194870833,0.08078843177510045,1.7213902884813794,1.730032194637555,0.00864190615617555,6880,2331,0,0.5127863885974354,0.5079894059891933,0.5175833712056775,-0.03516674241135509,-0.015978811978386576,0.0047969826082421285,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,8,1.730032194637555
real_raw,ibm_yonsei,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.0015430780163780966,0.004874826543079686,1.6454766832493586,1.6541185894055341,0.00864190615617555,35529,11786,0,0.500771539008189,0.4997674336664502,0.5017756443499278,-0.003551288699855659,0.000465132667099577,0.001004105341738809,24576,"[0, 0, 3, 21]","[1.0, 7.0, 6.142857142857143]",3,21,9,1.6541185894055341
