source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,source_file,recovered_from_jobs
aer_noise,ibm_berlin,aer_noise_model_from_backend,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4245388295257311,-1.3411850423465033,0.2994168143597757,0.3080587205159513,0.0086419061561755,23868,0,8138,0.2877305852371344,0.2874112744254753,0.2880498960487935,0.423900207902413,0.4251774511490492,0.000319310811659,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.4429991743669732,-1.396502207477374,0.2440996492289049,0.2462222250864207,0.0021225758575158,27775,0,8945,0.2785004128165134,0.2781688125103785,0.2788320131226481,0.4423359737547037,0.4436623749792429,0.0003316003061347,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,0.433766958988637,-1.3666787257955064,0.2739231309107726,0.2750405569681011,0.0011174260573285,42701,0,15271,0.2831165205056815,0.2828376659378537,0.2833953750735092,0.4332092498529816,0.4343246681242926,0.0002788545678277,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081143Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,8,1,8192,0.005,0.05,-1.640601856706279,0.5185498809808726,-1.6335919276211652,0.4429617905056204,-1.3954661484943836,0.2451357082118954,0.2381257791267816,0.0070099290851137,45384,0,15187,0.2785191047471897,0.278187497534148,0.2788507119602314,0.4422985760795371,0.4436250049317038,0.0003316072130416,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081213Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.5114534884090683,-1.776629189414826,0.136027332708547,0.1524806678708388,0.2885080005793858,5045,0,1183,0.2442732557954658,0.2439554193128937,0.2445910922780379,0.510817815443924,0.5120891613742127,0.0003178364825721,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T084359Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.4245234104407889,-1.4174610257511369,0.2231408309551421,0.4077189150570361,0.184578084101894,12103,0,4311,0.2877382947796055,0.2874189814214656,0.2880576081377455,0.423884783724509,0.4251620371570687,0.0003193133581399,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T091538Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.443367535767166,-1.414015784137926,0.226586072568353,0.2644335626065472,0.0378474900381942,12984,0,3944,0.278316232116417,0.2779846997033751,0.2786477645294589,0.4427044709410821,0.4440306005932498,0.0003315324130419,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T091538Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3334071462087005,-1.053285698286028,0.5873161584202509,0.5959580645764264,0.0086419061561755,20479,0,6986,0.3332964268956497,0.3329100181154092,0.3336828356758902,0.3326343286482196,0.3341799637691814,0.0003864087802404,147456,"[0, 0, 18]","[1.0, 37.0]",2,18,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T092809Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.2393155919196825,-0.7544139396583647,0.8861879170479143,0.8883104929054302,0.0021225758575158,26270,0,8401,0.3803422040401587,0.3799646618218129,0.3807197462585046,0.2385605074829908,0.2400706763563742,0.0003775422183458,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T094230Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,0.145662908401413,-0.4589432042354469,1.181658652470832,1.1827760785281607,0.0011174260573285,37379,0,13381,0.4271685457992935,0.4268196373090894,0.4275174542894975,0.144965091421005,0.1463607253818211,0.000348908490204,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T095357Z.csv,
real_mitigated,ibm_berlin,runtime_dd_twirling,8,1,8192,0.005,0.05,-1.640601856706279,0.5185498809808726,-1.6335919276211652,0.2660636366697347,-0.8381824488611571,0.8024194078451219,0.7954094787600081,0.0070099290851137,38574,0,12898,0.3669681816651326,0.3665505188338509,0.3673858444964143,0.2652283110071713,0.2668989623322981,0.0004176628312816,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T100638Z.csv,
